fid,LSOA Code,LSOA Name,GeoPackage Unique ID,LSOA IMD Ranking,IMD Decile,Shape__Area,Shape__Length
2940,E01003085,Lambeth 030C,5a6ae93f-22f3-49d8-b2ea-59d422dae95c,20945,7,577753.013969421,5023.81089863115
3063,E01003211,Lewisham 008B,23125038-2cf8-442b-92ff-9f0e177f45a3,13195,4,518928.726083755,4142.5051768833
1071,E01001120,Croydon 033A,858a8bf0-fb9f-4239-b223-f80a70933051,27498,9,784163.966014862,6263.60533167023
3727,E01003904,Richmond upon Thames 015G,d73a73ea-033c-4e64-a9b1-b3f491769f8a,25017,8,621752.65133667,5386.56320320372
2817,E01002961,Kingston upon Thames 008D,c61267fd-3ebc-4503-b4c9-7e92c3fe7aa1,31665,10,868360.686676025,5585.64309939242
4268,E01004504,Wandsworth 020C,e5327ab5-facf-4de3-9ebb-477f53889beb,28461,9,575309.608642578,4368.03514878522
31613,E01033487,Islington 011F,7bda63f3-f3ca-4464-83bd-08fd3ea5bd73,24887,8,63169.5296096802,1107.92383909041
1735,E01001831,Hackney 009D,7d8dea04-50b3-4e6e-9579-02809072f8ee,10689,4,286248.9804039,3447.74029246269
284,E01000297,Barnet 027D,88c771ea-401a-4bc4-8f0c-cc3547aca874,18747,6,600183.781303406,4032.9633096546
161,E01000173,Barnet 006C,6a3f5d24-8e0b-4aaf-ab6f-f29b310cb731,22614,7,948221.922576904,6177.36720690244
2399,E01002516,Hillingdon 013E,578022fd-d8ee-403c-8449-36897d386d89,28973,9,1517116.31445313,8462.24570795826
1998,E01002100,Haringey 008B,6e11669a-9714-442a-aa0e-e09ed69dabaf,3924,2,365848.902511597,3784.48687485507
4168,E01004401,Waltham Forest 014C,dc0852f2-bd4f-48f7-a7dc-745631326a55,14121,5,2850417.54704666,9339.47814312026
2591,E01002725,Islington 022E,8e15109e-0e07-482f-9970-25fc7fede945,7524,3,157471.148399353,2023.26771215789
919,E01000962,Camden 016A,985dc16d-2d1d-489a-8fdb-a152b5258508,30241,9,247350.281486511,3718.01927669942
4500,E01004756,Westminster 006E,fc51487f-8bce-46cd-be87-b4d3240eff84,6990,3,153194.390426636,1913.02315824906
1002,E01001050,Croydon 023D,f6489fdf-043d-4fc8-811f-80b7fe4149e2,14516,5,397334.309047699,5169.74988522573
1595,E01001669,Greenwich 033A,4b0f6b91-f7d7-4c3b-b7fc-a41374a10e4c,7700,3,1297952.51197815,7645.75563694243
1512,E01001572,Greenwich 008B,a11cd917-1e84-4002-95ff-fa9a4a59d66d,14973,5,433534.199768066,4400.30765438009
